key;date;y
2831;01Aug2015;6967,828804
2831;01Sep2015;2609,182613
2831;01Oct2015;2216,930703
2831;01Nov2015;2003,713007
2831;01Dec2015;4239,101626
2831;01Jan2016;2419,014274
2831;01Feb2016;4275,365001
2831;01Mar2016;4734,792547
2831;01Apr2016;3296,743317
2831;01May2016;5808,209698
2831;01Jun2016;6148,908213
2831;01Jul2016;6235,598344
2831;01Aug2016;6455,524078
2831;01Sep2016;3227,367455
2831;01Oct2016;2783,947121
2831;01Nov2016;2836,362232
2831;01Dec2016;5166,494487
2831;01Jan2017;4284,206122
2831;01Feb2017;4462,568593
2831;01Mar2017;3509,0394
2831;01Apr2017;3942,761414
2831;01May2017;6204,432181
2831;01Jun2017;8929,246512
2831;01Jul2017;7013,916301
2831;01Aug2017;8164,678106
2831;01Sep2017;4419,308208
2831;01Oct2017;3846,826689
2831;01Nov2017;2804,460463
2831;01Dec2017;3949,724523
2831;01Jan2018;4933,042339
2831;01Feb2018;3595,885595
2831;01Mar2018;4305,154047
2831;01Apr2018;3027,117461
2831;01May2018;5640,001542
2831;01Jun2018;7232,187582
2835;01Jan2012;0
2835;01Feb2012;1139,403052
2835;01Mar2012;2830,103672
2835;01Apr2012;3765,449189
2835;01May2012;4667,45966
2835;01Jun2012;4949,861981
2835;01Jul2012;3600,690758
2835;01Aug2012;2179,385592
2835;01Sep2012;3439,268975
2835;01Oct2012;2579,596922
2835;01Nov2012;2229,545362
2835;01Dec2012;1601,715134
2835;01Jan2013;670,6006568
2835;01Feb2013;2032,777684
2835;01Mar2013;4119,930558
2835;01Apr2013;4500,018875
2835;01May2013;6698,236707
2835;01Jun2013;6526,129951
2835;01Jul2013;3821,633222
2835;01Aug2013;4092,769469
2835;01Sep2013;4458,839207
2835;01Oct2013;3738,53474
2835;01Nov2013;2370,519738
2835;01Dec2013;1738,731472
2835;01Jan2014;2147,930627
2835;01Feb2014;3590,771003
2835;01Mar2014;5069,259603
2835;01Apr2014;5060,230714
2835;01May2014;7459,796546
2835;01Jun2014;7507,130811
2835;01Jul2014;3891,195952
2835;01Aug2014;5498,577497
2835;01Sep2014;5431,77099
2835;01Oct2014;4412,034311
2835;01Nov2014;2999,490199
2835;01Dec2014;2247,786313
2835;01Jan2015;2959,418708
2835;01Feb2015;4490,805025
2835;01Mar2015;5774,012714
2835;01Apr2015;6614,573829
2835;01May2015;8750,310364
2835;01Jun2015;7834,884817
2835;01Jul2015;4877,496245
2835;01Aug2015;6107,741013
2835;01Sep2015;5757,165444
2835;01Oct2015;5488,601665
2835;01Nov2015;3653,292638
2835;01Dec2015;2422,403353
2835;01Jan2016;3035,845585
2835;01Feb2016;4695,645207
2835;01Mar2016;6718,139441
2835;01Apr2016;7601,460702
2835;01May2016;10000
2835;01Jun2016;5778,212467
2835;01Jul2016;5398,986846
2835;01Aug2016;5806,762507
2835;01Sep2016;5381,069806
2835;01Oct2016;4822,26606
2835;01Nov2016;3509,531309
2835;01Dec2016;2890,359878
2835;01Jan2017;2659,331671
2835;01Feb2017;3728,183118
2835;01Mar2017;5762,107868
2835;01Apr2017;7352,443639
2835;01May2017;8694,991923
2835;01Jun2017;
2835;01Jul2017;6727,760776
2835;01Aug2017;7025,513728
2835;01Sep2017;6483,926476
2835;01Oct2017;5276,114833
2835;01Nov2017;3923,019489
2835;01Dec2017;2645,782062
2835;01Jan2018;2831,165645
2835;01Feb2018;4473,520722
2835;01Mar2018;6727,185759
2835;01Apr2018;7643,365178
2835;01May2018;8217,7183
2835;01Jun2018;7084,966744
4361;01Jan2012;2393,230239
4361;01Feb2012;2581,265264
4361;01Mar2012;5271,217223
4361;01Apr2012;4957,240148
4361;01May2012;4673,539668
4361;01Jun2012;4618,482823
4361;01Jul2012;3054,835041
4361;01Aug2012;8946,385283
4361;01Sep2012;0
4361;01Oct2012;2194,55821
4361;01Nov2012;1556,838956
4361;01Dec2012;1869,88926
4361;01Jan2013;2862,779603
4361;01Feb2013;2289,816801
4361;01Mar2013;4292,239929
4361;01Apr2013;2890,160627
4361;01May2013;5661,398737
4361;01Jun2013;4451,398244
4361;01Jul2013;3132,944816
4361;01Aug2013;4108,027592
